show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description
s1,Movie,Netflix Title 1,,"Actor 292, Actor 541",France,"December 15, 2016",1994,TV-MA,Action,This is a movie released in 1994.
s2,Movie,Netflix Title 2,,"Actor 295, Actor 858",France,,2020,TV-PG,Comedy,
s3,Movie,Netflix Title 3,,,United Kingdom,,1981,,Thriller,This is a movie released in 1981.
s4,TV Show,Netflix Title 4,Director 285,"Actor 15, Actor 622",Japan,,2011,G,Thriller,
s5,Movie,Netflix Title 5,,"Actor 333, Actor 874",,"December 21, 2019",2024,R,Romance,This is a movie released in 2024.
s6,TV Show,Netflix Title 6,,,Canada,,2024,PG-13,Thriller,
s7,TV Show,Netflix Title 7,Director 276,,India,,1982,G,Horror,
s8,Movie,Netflix Title 8,Director 87,,Canada,"July 27, 2021",1987,,Thriller,
s9,Movie,Netflix Title 9,Director 26,,,,1981,,Horror,This is a movie released in 1981.
s10,Movie,Netflix Title 10,Director 163,,India,,2014,G,Documentary,This is a movie released in 2014.
s11,TV Show,Netflix Title 11,Director 200,,Japan,,1985,PG-13,Thriller,This is a tv show released in 1985.
s12,Movie,Netflix Title 12,,,Canada,"April 03, 2019",1986,,Comedy,
s13,TV Show,Netflix Title 13,,"Actor 463, Actor 862",Canada,,2013,G,Action,
s14,Movie,Netflix Title 14,Director 294,,Canada,"September 23, 2017",2013,TV-PG,Comedy,This is a movie released in 2013.
s15,Movie,Netflix Title 15,,,India,,2004,TV-PG,Horror,This is a movie released in 2004.
s16,TV Show,Netflix Title 16,Director 197,,France,,2001,PG-13,Thriller,This is a tv show released in 2001.
s17,Movie,Netflix Title 17,Director 199,"Actor 219, Actor 813",Canada,"November 03, 2022",1982,TV-PG,Documentary,
s18,Movie,Netflix Title 18,Director 227,,South Korea,"October 15, 2021",2009,,Action,This is a movie released in 2009.
s19,TV Show,Netflix Title 19,Director 191,,Japan,,2001,,Horror,
s20,TV Show,Netflix Title 20,,"Actor 67, Actor 916",,"March 01, 2023",1985,TV-14,Horror,
s21,TV Show,Netflix Title 21,Director 248,,United Kingdom,,2023,PG-13,Thriller,This is a tv show released in 2023.
s22,Movie,Netflix Title 22,Director 34,"Actor 288, Actor 851",,,2023,PG,Horror,
s23,Movie,Netflix Title 23,,,South Korea,"November 06, 2020",1984,,Comedy,
s24,Movie,Netflix Title 24,Director 89,"Actor 488, Actor 974",France,"December 04, 2020",1981,G,Action,This is a movie released in 1981.
s25,TV Show,Netflix Title 25,Director 230,,India,,1987,PG,Comedy,This is a tv show released in 1987.
s26,Movie,Netflix Title 26,Director 259,"Actor 373, Actor 851",,"February 16, 2015",2000,,Drama,This is a movie released in 2000.
s27,Movie,Netflix Title 27,,"Actor 101, Actor 868",India,"April 29, 2024",2014,TV-14,Action,
s28,Movie,Netflix Title 28,,,United Kingdom,,1993,TV-14,Action,
s29,TV Show,Netflix Title 29,Director 257,,South Korea,"February 06, 2018",2009,,Thriller,This is a tv show released in 2009.
s30,Movie,Netflix Title 30,Director 102,"Actor 162, Actor 795",South Korea,,2005,PG-13,Drama,This is a movie released in 2005.
s31,Movie,Netflix Title 31,Director 61,"Actor 397, Actor 633",India,"December 17, 2021",1991,PG,Documentary,
s32,Movie,Netflix Title 32,Director 258,,,,1985,,Drama,This is a movie released in 1985.
s33,TV Show,Netflix Title 33,Director 81,,United States,,1998,TV-PG,Drama,This is a tv show released in 1998.
s34,Movie,Netflix Title 34,Director 51,,India,,2018,TV-MA,Drama,This is a movie released in 2018.
s35,TV Show,Netflix Title 35,Director 180,,France,"March 13, 2022",1996,TV-PG,Drama,
s36,Movie,Netflix Title 36,,"Actor 181, Actor 745",South Korea,"March 18, 2017",2015,PG-13,Horror,This is a movie released in 2015.
s37,Movie,Netflix Title 37,Director 196,"Actor 163, Actor 869",South Korea,,1984,TV-PG,Romance,
s38,TV Show,Netflix Title 38,,"Actor 225, Actor 927",United Kingdom,,1999,PG-13,Action,This is a tv show released in 1999.
s39,TV Show,Netflix Title 39,,"Actor 44, Actor 864",Japan,,2023,PG-13,Romance,
s40,Movie,Netflix Title 40,Director 193,,South Korea,"September 01, 2016",2004,PG,Romance,This is a movie released in 2004.
s41,TV Show,Netflix Title 41,,,,"October 31, 2018",2007,G,Horror,This is a tv show released in 2007.
s42,TV Show,Netflix Title 42,,,Canada,"April 10, 2019",2021,PG-13,Horror,This is a tv show released in 2021.
s43,Movie,Netflix Title 43,,,United States,,1986,,Action,
s44,Movie,Netflix Title 44,Director 34,"Actor 240, Actor 748",Canada,,1993,TV-PG,Documentary,This is a movie released in 1993.
s45,Movie,Netflix Title 45,,"Actor 299, Actor 889",South Korea,"September 05, 2021",2013,R,Comedy,This is a movie released in 2013.
s46,Movie,Netflix Title 46,,"Actor 305, Actor 539",Japan,,2012,PG,Comedy,This is a movie released in 2012.
s47,TV Show,Netflix Title 47,,"Actor 237, Actor 788",India,,1987,,Comedy,This is a tv show released in 1987.
s48,Movie,Netflix Title 48,Director 35,,,"March 19, 2020",1983,PG-13,Thriller,This is a movie released in 1983.
s49,Movie,Netflix Title 49,Director 296,,Japan,"August 22, 2016",2007,PG-13,Documentary,
s50,Movie,Netflix Title 50,Director 244,"Actor 14, Actor 983",Canada,"April 29, 2017",2022,G,Documentary,
s51,TV Show,Netflix Title 51,,"Actor 434, Actor 523",Japan,,2017,TV-14,Comedy,
s52,TV Show,Netflix Title 52,Director 218,"Actor 104, Actor 923",United Kingdom,,2003,TV-14,Romance,This is a tv show released in 2003.
s53,Movie,Netflix Title 53,,,Japan,,2021,R,Comedy,
s54,TV Show,Netflix Title 54,Director 111,,United Kingdom,,1993,G,Thriller,
s55,TV Show,Netflix Title 55,,"Actor 419, Actor 813",,"October 27, 2020",2019,PG-13,Comedy,This is a tv show released in 2019.
s56,Movie,Netflix Title 56,,"Actor 497, Actor 874",United States,"April 07, 2016",2002,TV-PG,Comedy,This is a movie released in 2002.
s57,Movie,Netflix Title 57,,,Japan,,2002,TV-PG,Action,This is a movie released in 2002.
s58,TV Show,Netflix Title 58,Director 6,,United Kingdom,,1983,R,Action,This is a tv show released in 1983.
s59,Movie,Netflix Title 59,,,South Korea,,1986,R,Documentary,
s60,Movie,Netflix Title 60,,"Actor 125, Actor 566",France,"July 26, 2016",2022,R,Drama,This is a movie released in 2022.
s61,TV Show,Netflix Title 61,Director 161,,United States,,2016,TV-14,Horror,This is a tv show released in 2016.
s62,Movie,Netflix Title 62,,"Actor 54, Actor 937",Canada,"September 16, 2022",2008,R,Horror,
s63,Movie,Netflix Title 63,,"Actor 391, Actor 682",France,"December 19, 2018",2022,TV-MA,Romance,This is a movie released in 2022.
s64,Movie,Netflix Title 64,Director 212,"Actor 228, Actor 844",France,"July 16, 2017",1994,TV-PG,Horror,
s65,Movie,Netflix Title 65,,,United Kingdom,,2021,,Romance,
s66,Movie,Netflix Title 66,Director 150,,Canada,,1990,PG-13,Horror,
s67,Movie,Netflix Title 67,,,Canada,"July 01, 2015",1981,R,Horror,
s68,TV Show,Netflix Title 68,,"Actor 136, Actor 662",United States,,1986,TV-PG,Comedy,This is a tv show released in 1986.
s69,TV Show,Netflix Title 69,,,United Kingdom,,1993,PG-13,Romance,This is a tv show released in 1993.
s70,Movie,Netflix Title 70,,"Actor 227, Actor 588",United States,"February 03, 2015",1994,TV-PG,Horror,
s71,TV Show,Netflix Title 71,,,South Korea,,1980,TV-14,Horror,This is a tv show released in 1980.
s72,TV Show,Netflix Title 72,,,France,,1994,G,Horror,
s73,Movie,Netflix Title 73,Director 112,,India,"October 25, 2024",2002,TV-14,Romance,
s74,TV Show,Netflix Title 74,Director 193,,,,2010,TV-14,Romance,
s75,Movie,Netflix Title 75,Director 149,,India,,1998,G,Horror,This is a movie released in 1998.
s76,TV Show,Netflix Title 76,,"Actor 85, Actor 563",South Korea,,1993,TV-MA,Drama,
s77,Movie,Netflix Title 77,,,South Korea,"July 25, 2015",1992,,Documentary,
s78,Movie,Netflix Title 78,,"Actor 129, Actor 680",France,"August 06, 2022",2007,,Romance,
s79,TV Show,Netflix Title 79,,"Actor 485, Actor 620",France,,2022,,Romance,This is a tv show released in 2022.
s80,Movie,Netflix Title 80,,,United Kingdom,,1991,PG-13,Thriller,This is a movie released in 1991.
s81,TV Show,Netflix Title 81,,,United Kingdom,"September 02, 2022",1989,TV-PG,Documentary,
s82,Movie,Netflix Title 82,,"Actor 164, Actor 507",France,,2009,G,Thriller,This is a movie released in 2009.
s83,Movie,Netflix Title 83,,,France,,1994,TV-14,Thriller,This is a movie released in 1994.
s84,TV Show,Netflix Title 84,Director 239,,France,"April 20, 2024",2003,PG-13,Comedy,
s85,Movie,Netflix Title 85,,"Actor 280, Actor 683",United States,,1993,,Thriller,
s86,TV Show,Netflix Title 86,Director 23,,Canada,"September 12, 2021",1985,PG-13,Comedy,
s87,TV Show,Netflix Title 87,,"Actor 379, Actor 597",,"September 17, 2021",1999,PG-13,Documentary,
s88,Movie,Netflix Title 88,Director 25,"Actor 184, Actor 837",South Korea,"May 18, 2020",2022,R,Action,
s89,Movie,Netflix Title 89,Director 172,"Actor 151, Actor 846",Japan,"June 21, 2016",1998,TV-MA,Romance,This is a movie released in 1998.
s90,Movie,Netflix Title 90,,,France,,2016,TV-MA,Thriller,This is a movie released in 2016.
s91,TV Show,Netflix Title 91,Director 17,"Actor 285, Actor 850",Canada,,2000,PG,Romance,
s92,TV Show,Netflix Title 92,Director 9,,France,"May 07, 2021",1995,TV-PG,Comedy,
s93,Movie,Netflix Title 93,Director 103,,United Kingdom,"April 22, 2024",1998,R,Thriller,
s94,Movie,Netflix Title 94,,,South Korea,,1997,G,Drama,This is a movie released in 1997.
s95,TV Show,Netflix Title 95,Director 203,,,,2013,PG,Comedy,
s96,TV Show,Netflix Title 96,,,France,"July 08, 2020",2010,R,Documentary,
s97,TV Show,Netflix Title 97,Director 155,,,,2018,TV-MA,Documentary,
s98,TV Show,Netflix Title 98,,"Actor 180, Actor 890",Canada,,2017,TV-MA,Romance,This is a tv show released in 2017.
s99,TV Show,Netflix Title 99,,,,,1980,G,Horror,
s100,TV Show,Netflix Title 100,,,United States,,1989,TV-MA,Documentary,This is a tv show released in 1989.
s101,TV Show,Netflix Title 101,Director 47,"Actor 196, Actor 574",South Korea,,2018,G,Romance,
